term,reading,english,description,category
情報産業,じょうほうさんぎょう,,情報を生産・収集・加工・提供する等の形態で業務を行う産業。,ビジネス
惣菜屋,そうざいや,,惣菜を作って売る店。,店舗
惣菜店,そうざいてん,,惣菜を販売する店。,店舗
成長率,せいちょうりつ,,ある期間で国内経済がどれだけ成長したかを表す率。経済成長率。,経済
戦力,せんりょく,,スポーツや労働などで貢献する力。そのための人材や機器類。,労働
投信,とうしん; とーしん,,投資信託の略。,金融
投機,とうき,speculation,将来において価格が上昇することによる利益（例:転売による差益）を期待して取引を行うこと。この期待どおりにならないことによる損失のリスクも負う。,金融
投資,とうし,investment,1.のうち、資本、生産手段に対するもの。,金融
投資信託,とうししんたく,,証券会社が投資家から資金を集め、その資金を専門の機関が有価証券で運用し、その収益を投資家に分配する金融商品。,金融
掃除屋,そうじや,,掃除を行う店、人。,店舗
損切り,そんぎり,,値下がりした株式、証券、外貨などを売却し、損失が確定であること。,経済
損害保険,そんがいほけん,,偶発的な事故により発生した損害について補填するための保険。,保険
支出,ししゅつ,expenditure,一定の目的に金品を支払うこと。また、その金品。,会計
支社,ししゃ,,企業などで本社から分かれ、本社から離れた地域などで業務を行う事業所。,経済
改訂,かいてい; かいてー,,（主に書物、著作物に対して）直し、改めること。,出版
改造券,かいぞうけん,,日本で1888年に発行が開始された紙幣。,通貨
政治統合,せいじとうごう,,特定の地域にある国家が共通の議会を導入するなどして政治的な結びつきを強めること。,経済
数理経済学,すうりけいざいがく,,数学的な手法を用いた分析がなされる経済学の一分野。,経済
文字銭,ぶんじせん,,江戸時代、寛文年間（1661年~1673年）京都方広寺の大仏を解体して鋳造した寛永通宝の銅銭。裏に「文」の文字があった。文銭。,通貨
文房具屋,ぶんぼうぐや,,文房具を作って売る店。,店舗
文房具店,ぶんぼうぐてん,,文房具を販売する店。,店舗
料亭,りょうてい,,「料理屋」のこと。,飲食店
料理店,りょうりてん,restaurant,客室を設け、飲食物を調理し、求めに応じて販売することを業とする店。,飲食店
新株,しんかぶ,new; stocks; shares,株式会社が新規発行増資や株式分割のとき、新しく発行する株式。,経済
新自由主義,しんじゆうしゅぎ,,1970年代以降に登場した、市場への介入をなるべく減らし市場原理に任せる思想。,経済
新興国,しんこうこく,,20世紀後半以降に急速な発展を遂げた国々。,経済
日勤,にっきん,day shift,昼間の勤務。また、それをすること。,労働
日商,にっしょう; にっしょー,,一日の総売上高。,会計
日本銀行券,にっぽんぎんこうけん,,日本銀行が発行する紙幣。,通貨
日歩,ひぶ,,元金100円に対する１日あたりの利息の割合。,金融
日経,にっきょう; にっけい; にっけー; にっきょー,,（にっけい）日本経済新聞。; （にっけい）日本経済新聞社。,経済
日経,にっけい; にっけー; にっきょー,,日本の経済。,経済
日銀券,にちぎんけん,,日本銀行券の略称。,通貨
昇給,しょうきゅう; しょーきゅう,raise; rise,給料が上がること。,労働
昭和元禄,しょうわげんろく,,昭和の高度経済成長期の泰平を江戸時代の元禄期に例えた言葉。,経済
時季変更権,じきへんこうけん,,従業員の有休の取得について業務の運営に支障が出る場合、使用者がその時季を変更できる権利。,労働
時間外労働,じかんがいろうどう,,労働基準法などに規定される労働時間を超えて労働することや、定められた休日に労働すること。超過勤務。残業。,労働
時間外協定,じかんがいきょうてい,,使用者と労働者との間で結ばれる、時間外労働や休日出勤に関する取り決め。,労働
普通銀行,ふつうぎんこう,,銀行法に基づき設立された銀行。,銀行
景気,けいき; けーき,,経済状態の動向。社会全体の状態を指して言う時が多い。,経済
景気変動,けいきへんどう,,資本主義経済のもとで、景気が周期的に好況、後退、不況、回復を繰り返すこと。,経済
景気後退,けいきこうたい,,景気の山から後退しているが、まだ不景気までには至っていない状況。,経済
景気循環,けいきじゅんかん,,資本主義経済のもとで、景気が周期的に好況、後退、不況、回復を繰り返すこと。,経済
曖昧さ回避,あいまいさかいひ,ambiguity aversion; disambiguation,確率が未知であるような事象を回避しようとする選好。曖昧性忌避、不確実性回避。,経済
書店,しょてん,bookstore; bookshop,書籍の販売を、主要な事業とする企業。一般的には、そのうち小売業のものを指すが、その他、出版社や卸売りを行なう企業も含む。,店舗
最低賃金,さいていちんぎん,minimum wage,法令（最低賃金法等）などにより使用者が労働者に支払わなければならない賃金の最低基準額。最賃。,労働
最貧国,さいひんこく,,発展途上国の中でも特に所得の低い国。,経済
最賃,さいちん,,最低賃金。,労働
月商,げっしょう; げっしょー,,一箇月間の総売上高。,会計
月給,げっきゅう,monthly; salary,月ごとに決まって支給される給料のこと。サラリー。,労働
有休,ゆうきゅう,,有給休暇。,労働
有価証券,ゆうかしょうけん; ゆうかしょーけん,securities,財産権を表示する証券で、権利の行使や移転が証券でなされるもの。,金融
有給,ゆうきゅう,,給料が支払われること。; 有給休暇。,労働
有給休暇,ゆうきゅうきゅうか,,出勤した時と同様の給料が発生する休暇。年次有給休暇。,労働
服屋,ふくや,,服を作って売る店。,店舗
期末,きまつ,,会計期間の終わり。,会計
期首,きしゅ,,会計期間のはじめ。,会計
木材屋,もくざいや,,木材を仕入れて販売する店、人。木材店。,店舗
未払費用,ば,,既に提供されたサービス等に対していまだ対価の支払が終わらないもののこと。一定の契約に従い、継続してサービス等の提供を受ける場合が対象。勘定科目で、流動負債に分類されるものの一つ。,会計; 簿記
本社,ほんしゃ,,会社で本部または中心となる場所又は機能。一般には、本店登記がなされた住所に所在する会社組織。,経済
札,ふだ; セチ; サツ,,（サツ）紙幣。,通貨
朱,あけ; あか; あき; ス; シュ,,江戸時代の貨幣単位。,通貨
材料,ざいりょう; ざいりょー,material; data,相場を変動させる要因となるもの。,相場
材木屋,ざいもくや,,材木を仕入れて販売する店、人。材木店。,店舗
東証,とうしょう,Tokyo Stock Exchange,東京証券取引所または株式会社東京証券取引所の略。東京の兜町にある証券取引所。,経済
株価,かぶか,,株式が取引される価格。,金融
株券,かぶけん,stock; share; certificate,株主の地位を表象する有価証券。,金融
株式会社,かぶしきがいしゃ,joint-stock company,日本の会社法において、資本が有限責任資本のみにより構成され（物的会社）、当該資本が、株式という規格化された持分に分割され、出資者の権利が画される営利社団法人。,会計
棚卸資産,,inventory,販売や加工することを目的として所有する資産。,会計
概念フレームワーク,,,企業会計（特に財務会計）の基礎にある前提や概念を体系化したもの。会計基準の概念的な基礎を提供するほか、財務諸表の様々な利用者の意思決定に資し、将来の基準開発に指針を与える役割も有する。財務会計の概念フレームワーク。,会計
模型屋,もけいや,,模型を作って売る店。,店舗
