term,reading,english,description,category
無名数,むめいすう,,無次元量を表す数。,物理学
無次元量,むじげんりょう,,次元が1である物理量。,物理学
焦点,しょうてん; しょーてん,focus,レンズや鏡に入射した平行な光線が屈折・反射して集まる点。,物理学
熱,ねつ; ネツ; ネチ; ゼツ,heat; body temperature; zeal,温度差がある2つの物体の間あるいは系と周囲の間で接触や放射があったときに、その温度差を原因として移動する形態のエネルギー。多くの場合には、物体に熱を与えれば温度が上がり、物体から熱を取り去れば温度が下がる。,熱力学; 物理学
熱エネルギー,,thermal energy,熱によって伝わるエネルギー。エネルギーとしての「熱」を強調した表現。学術的には「熱」はエネルギーなので「熱」とほぼ同義。,熱力学
熱力学温度,ねつりきがくおんど,,絶対温度のこと。,熱力学
熱力学第一法則,ねつりきがくだいいちほうそく,,熱力学においてある系とその周囲のエネルギーの大きさの総和は常に保存されるという法則。,熱力学
熱力学第三法則,ねつりきがくだいさんほうそく,,絶対零度でない物体を有限時間内に絶対零度まで冷やすのは不可能であるという法則。,熱力学
熱力学第二法則,ねつりきがくだいにほうそく,,熱効率が100%の熱機関を作ることは不可能であるという法則。,熱力学
熱力学第零法則,ねつりきがくだいれいほうそく,,ある物体Aが別の二つの物体B、Cとそれぞれ熱平衡にあるとき、BとCも熱平衡にあるという法則。,熱力学
熱効率,ねつこうりつ; ねつこーりつ,thermal efficiency,ある熱機関が周囲に成す仕事を受け取る熱で割った数値。,熱力学
熱容量,ねつようりょう,,ある物体またはある系の温度を単位温度だけ上げるのに必要な熱量。国際単位系では J/K で表される値。,熱力学
熱機関,ねつきかん,heat engine,熱エネルギーを機械的エネルギーあるいは仕事に変換する装置。原動機の一。蒸気機関など。,熱力学
熱線,ねっせん,,赤外線のこと。,物理学
熱膨張,ねつぼうちょう,,物体の構成粒子が温度上昇により熱運動の激しさを増すことで物体の長さや体積が増加すること。,熱力学
熱膨脹,ねつぼうちょう,,物体の構成粒子が温度上昇により熱運動の激しさを増すことで物体の長さや体積が増加すること。,熱力学
熱運動,ねつうんどう,,分子が常に起こしている微視的な運動。これが大きいほど温度が高い。,熱力学
熱量,ねつりょう; ねつりょー,,熱の量。「熱」の量的側面を強調した表現。,熱力学; 物理学
物体,ぶったい,object,具体的な形を持つもの。,物理学
物理学史,ぶつりがくし,,物理学に関する歴史。,物理学
物理的,ぶつりてき,physical,物理学に関係するさま。物理学が扱う事柄と考えられているさま。,物理学
物質,ぶっしつ,matter; substance; material,空間の一部を占め質量をもつもの。分子、原子、素粒子など。,物理学
特殊相対性理論,とくしゅそうたいせいりろん,special relativity,重力による影響がない状況で成立する相対性理論。特殊相対論。,相対性理論
特殊相対論,とくしゅそうたいろん,,「特殊相対性理論」の略。,物理学
特異点,とくいてん,,ブラックホールの中心にあると考えられている、密度が無限大の点。,天体物理学
状態,じょうたい; じょーたい,state; status; condition; situation,物質が、ある相によって区別される形質をもっていること。固体、液体、気体といった区別。基本的に、化学的性質は状態によらず不変であり、状態が変化するために化学変化は必要ではない。,物理学
状態変化,じょうたいへんか; じょーたいへんか,phase change; state change; transformation,特に、物質の三態が変化すること。相転移。,物理化学
状態方程式,じょうたいほうていしき; じょーたいほーてーしき,,理想気体の圧力P、体積V、物質量n、気体定数R、絶対温度Tを用いてPV=nRTで表される方程式。理想気体の状態方程式。; (語義1を含んで)状態量の間に成り立つ関係式。ファンデルワールスの状態方程式（実在気体の状態方程式）やマーナハンの状態方程式（固体の状態方程式）など。; 完全流体のエネルギー密度をρ、圧力をPとしたとき、無次元量wを用いてw=P/ρと表される方程式。,熱力学; 物理学
現代物理学,げんだいぶつりがく,,20世紀以降に発展した量子力学以後の物理学。相対性理論を含める場合もある。数学・哲学の発展に相互に影響を与えた。,物理学
理論物理学,りろんぶつりがく,,既知の物理法則から理論的な計算や推算によって新しい法則を求める物理学の分野。,物理学
発散,はっさん,divergence,"ベクトル場に対して定義され、場の各点における指力線ベクトルの流出入量収支を記述するスカラー場。xyz空間ではdiv, mathbf X=∇· mathbf X=(∂X_x)/(∂x)+(∂X_2)/(∂y)+(∂X_z)/(∂z)。",ベクトル解析
白色光,はくしょくこう; はくしょくこー,white light,可視光線の範囲の周波数成分をまんべんなく含んだ光線。,物理学
直交成分,ちょっこうせいぶん; ちょっこーせーぶん,quadrature component,逆位相成分。,物理学
相,あい; ソウ; ショウ; サン,,（ソウ） 純物質か混合物かを問わず、物体が巨視的に均一な化学的組成や物理的性質を持つときに、その均一な特性で物体の状態を区分したもの。位相。,物理学
